"","name","climVar","N","pmn","sd","q05","pmd","q95","min","max","wtm","mwm","mpt","mat","opt","chc"
"1","Abies amabilis","aet",20,270.313845062256,43.6057366983293,233.938105773926,243.812622070312,355.325578308105,233.225982666016,376.354736328125,253.01130004145,253.491746635968,243.812622070312,243.812622070312,251.120087594697,301.754202297928
"2","Abies bracteata","aet",148,326.355235537967,17.5497349144068,305.665496826172,321.648040771484,363.547663879395,298.032806396484,381.194122314453,327.871569283505,325.868137264731,321.648040771484,321.648040771484,326.937292850379,334.122246434975
"3","Abies concolor","aet",831,317.044057283734,86.8411794768908,150.5,323.552215576172,440.440277099609,29,497.965850830078,296.020143718276,315.154280154474,29,29,423.627237955729,270.412713550355
"4","Abies grandis","aet",105,403.154538399833,27.100124459402,360.331976318359,401.926818847656,441.573974609375,339.830139160156,504.769500732422,422.184039285456,402.533583999377,399.919677734375,397.980712890625,399.326567678741,410.714716284507
"5","Abies lasiocarpa","aet",31,229.729023102791,18.7835895596575,200.906951904297,233.207748413086,246.213722229004,170.205215454102,284.186859130859,229.061331688078,231.725637542238,233.207748413086,233.207748413086,228.514515269886,221.676949731681
"6","Abies magnifica","aet",409,270.307424680528,90.8243673392392,80,279.665588378906,395.519366455078,29,503.249084472656,160.093864450818,257.650192510094,29,29,0,256.156050751988
"7","Abies procera","aet",42,337.457342965262,57.8989062726667,239.357437133789,331.6796875,438.276791381836,230.352661132812,452.341552734375,345.375558056089,342.350317690961,339.472534179688,338.204986572266,267.549087062027,347.611542174122
"8","Abronia alpina","aet",20,151.526711273193,20.5266301011848,123.8,159.388046264648,170.174652099609,82,170.174652099609,155.117505325348,155.880306269381,159.388046264648,159.388046264648,152.829673690025,126.058217366536
"9","Abronia latifolia","aet",274,350.797699308743,44.1761748941977,288.587036132812,336.854278564453,420.196038818359,288.587036132812,487.728057861328,384.229753901744,353.854523816607,383.255462646484,383.117980957031,327.547940340909,378.8545860513
"10","Abronia maritima","aet",398,277.865887550852,49.505176709076,185.263201904297,278.716644287109,352.992015075684,170.546661376953,438.727020263672,254.989843412588,261.45771562203,191.340042114258,284.809814453125,151.974232066761,303.263501057611
"11","Abronia nana","aet",108,266.46015520449,85.4419822163078,89,282.975708007812,355.954711914062,74,358.375610351562,198.335358142139,253.944152773226,85,85,75.5808006826073,215.982541524966
"12","Abronia pogonantha","aet",227,200.679116606187,74.6131699556903,104,196,316.921520996094,77,393.536895751953,161.300375785553,178.024076159038,112,112,117.976033528646,209.494110526552
"13","Abronia turbinata","aet",97,198.386526678026,42.0150188144362,112.8,209.447250366211,254.898666381836,106,273.852722167969,189.1580290548,198.043499292197,206.447006225586,210.015731811523,204.408159968829,181.20683876944
"14","Abronia umbellata","aet",665,294.474317278181,57.0215086103108,186.12998046875,296.371337890625,387.606079101562,169.067749023438,485.818328857422,279.107118999721,279.442621288642,189.717834472656,189.717834472656,146.731430516098,315.59562192747
"15","Abronia villosa","aet",918,159.39781631104,86.3243466147327,70,122,340.554504394531,61,404.1787109375,94.5262737817752,146.463897777258,236,236,324.574862393466,209.938010656706
"16","Acaena pinnatifida","aet",120,334.360555013021,23.8193693649208,298.125122070312,332.555389404297,375.85069732666,293.251190185547,409.14794921875,337.196689470507,331.572148951456,333.427124023438,333.427124023438,334.107365155461,347.739431211957
"17","Acalypha californica","aet",101,285.749748003365,65.7650803625128,184,304.3056640625,366.415893554688,184,395.767639160156,255.313729487962,275.954323832936,194,231,343.203006628788,283.59417987044
"18","Acamptopappus shockleyi","aet",186,179.743717234622,61.7888301710972,93.5,180,286.80672454834,82,309,154.396834605637,160.238447052714,92,87,0,184.020971829322
"19","Acamptopappus sphaerocephalus","aet",632,209.148799389224,80.1683113812643,94.1,203.856925964355,327.762652587891,70,398.992126464844,165.109155626675,198.913261923447,315.42724609375,315.42724609375,315.482667248658,231.325891101773
"20","Acanthomintha duttonii","aet",36,300.638588799371,6.06678923075132,293.251190185547,298.498168945312,307.844543457031,292.086578369141,319.06689453125,300.10954109859,299.994937063589,301.923187255859,299.312194824219,300.302630800189,305.034689010853
"21","Acanthomintha ilicifolia","aet",70,321.654640415737,54.0139995047691,266,302.329696655273,428.548309326172,263,428.927520751953,336.585494740709,313.498891773011,280.608764648438,277.201110839844,276.462614425505,339.174833684408
"22","Acanthomintha lanceolata","aet",182,287.421605959043,19.7343954735439,254.832550048828,290.502258300781,315.420329284668,221.838104248047,331.423553466797,282.36920534866,286.049442780278,294.90869140625,294.90869140625,296.41133256392,285.488554957297
"23","Acanthomintha obovata","aet",95,284.68644505551,17.1834732945471,256.615600585938,285.462493896484,309.158837890625,245.307235717773,326.014129638672,280.662476105923,282.533460609853,277.384887695312,275.311584472656,280.219080452967,285.453739640626
"24","Acanthoscyphus parishii","aet",369,323.317692371565,45.2980652250299,253.589645385742,320.881042480469,402.831329345703,149,411.139892578125,320.720075092213,324.937529422872,274.692901611328,279.659240722656,278.85244288589,292.210844048938
"25","Acer circinatum","aet",242,421.597326609714,46.5793229005614,356.909187316895,418.632354736328,494.16954498291,30,529.747192382812,467.078301108842,430.559792972598,30,30,76.4671334931345,325.411530098367
"26","Acer glabrum","aet",728,289.871410956749,93.8124046043188,102,295.395172119141,434.338195800781,29,504.448272705078,266.035013683061,278.56855951952,30,30,86.9773615056818,250.992394168004
