"","name","climVar","N","pmn","sd","q05","pmd","q95","min","max","wtm","mwm","mpt","mat","opt","chc"
"1","Abies amabilis","ppt",20,1309.75,253.526470122217,826.25,1448,1506.15,736,1509,1440.93142446434,1412.83623465637,1506,1506,1503.51515151515,1073.35351642726
"2","Abies amabilis","tmn",20,-6.78000013828278,2.43323491961631,-8.12500038146973,-7.75,-1.91999990940094,-8.60000038146973,1.5,-7.35167686429505,-7.64478669629404,-8.10000038146973,-8.10000038146973,0,-4.42477447621595
"3","Abies bracteata","ppt",148,727.635135135135,155.305323537312,427,770,919.25,375,1027,795.75909453546,778.923932694471,849,849,859.151515151515,764.021463454927
"4","Abies bracteata","tmn",148,1.16148649941425,2.28971447581244,-1.56500001549721,1.10000002384186,5,-2.20000004768372,6.80000019073486,0.553491399560982,0.128690707516616,-1.39999997615814,-1.39999997615814,0,2.72214070532333
"5","Abies concolor","ppt",831,838.693140794223,496.448139407904,295,658,1843,199,2481,1674.86390426242,864.742796251329,1270,1270,2565.65656565657,1201.84972578022
"6","Abies concolor","tmn",831,-5.15631767449325,2.84044458785977,-9.19999980926514,-5,-1.20000004768372,-19.7999992370605,4.09999990463257,-10.5147976313733,-5.26689445420965,-19.7999992370605,-19.7999992370605,0,-6.62970030859692
"7","Abies grandis","ppt",105,1336.98095238095,244.843905570954,1099,1256,1862.6,921,2193,1516.51927658312,1289.66331373739,1513,1513,1718.30303030303,1587.71750482648
"8","Abies grandis","tmn",105,5.66952383135046,2.95765382142521,-2.00000004768372,6.80000019073486,7.90000009536743,-3.09999990463257,8.39999961853027,5.40821888962147,6.6838020260513,8,8,10.3636363636364,2.8302570702122
"9","Abies lasiocarpa","ppt",31,1122.09677419355,89.6836495089674,992,1121,1259,927,1379,1125.21341991492,1119.39862412725,1121,1121,1121.77777777778,1184.71901949793
"10","Abies lasiocarpa","tmn",31,-8.47419351147067,0.494616150598929,-9,-8.69999980926514,-7.69999980926514,-9.80000019073486,-7.30000019073486,-8.52569728627028,-8.5412134751377,-8.69999980926514,-8.69999980926514,0,-8.36021510908783
"11","Abies magnifica","ppt",409,1062.79706601467,445.374039092147,441.2,1022,1846.8,237,2603,1760.87880583254,1139.63727228426,1270,1270,2629.29292929293,1294.32894140399
"12","Abies magnifica","tmn",409,-7.95867966089971,3.38420907025785,-13.3200000762939,-7.40000009536743,-3.53999996185303,-19.7999992370605,-1.10000002384186,-17.8794423341834,-8.50306525660876,-19.7999992370605,-19.7999992370605,0,-8.66237579001103
"13","Abies procera","ppt",42,1767.69047619048,421.667334379478,1163.8,1722,2455.65,982,2542,2225.23577815747,1908.28114505596,2501,2571,2684.84848484848,1835.28694964794
"14","Abies procera","tmn",42,-5.54285713036855,1.4683892988959,-7.5,-5.40000009536743,-3.51000000238419,-8.39999961853027,-2.59999990463257,-5.6106569283924,-5.20750005334787,-4.40000009536743,-5.59999990463257,0,-5.19817663496016
"15","Abronia alpina","ppt",20,350.85,28.6710471969271,288,362,384,288,384,352.24533773584,355.217480563527,351,351,375.878787878788,343.666666666667
"16","Abronia alpina","tmn",20,-8.43500018119812,0.60111741792771,-8.67000036239624,-8.5,-7,-10,-7,-8.45394701108524,-8.5157117515437,-8.60000038146973,-8.60000038146973,0,-8.5
"17","Abronia latifolia","ppt",274,778.525547445255,399.071432831826,346,611.5,1577.8,342,2028,1335.80855392601,825.58253937183,1806,1806,2684.84848484848,1070.66631525957
"18","Abronia latifolia","tmn",274,7.54452555893111,0.795538827587973,6.56499993801117,7.40000009536743,9.5,6.19999980926514,9.5,7.78744355721136,7.58795363564525,8.19999980926514,8.19999980926514,7.85050482701774,7.6349840087146
"19","Abronia maritima","ppt",398,371.422110552764,124.986781018184,229.95,328.5,550,210,1343,366.602298069734,353.679352112939,224,224,483.272727272727,637.602556617491
"20","Abronia maritima","tmn",398,10.1238693040819,1.63214188394757,7.30000019073486,9.89999961853027,13.1999998092651,6.09999990463257,13.5,11.5682788160603,10.5520202248839,13.1999998092651,13.1999998092651,13.6363636363636,9.06959699360619
"21","Abronia nana","ppt",108,381.324074074074,112.897259447355,257,391,604,159,616,378.573661679401,357.064837853089,271,263,268.484848484848,367.158339582705
"22","Abronia nana","tmn",108,-5.46574071822343,2.49448596331169,-10.6599999904633,-4.69999980926514,-2.59999990463257,-11.1999998092651,-1.29999995231628,-6.29509196576616,-5.32118997856008,-3.29999995231628,-4,0,-6.26527489561031
"23","Abronia pogonantha","ppt",227,221.964757709251,112.074479780064,104,196,450,77,555,193.471273088321,184.975560912069,145,145,161.090909090909,297.679029789213
"24","Abronia pogonantha","tmn",227,2.29074889523211,2.17978501934317,-1.5700000166893,2.59999990463257,5.90000009536743,-8.80000019073486,6.5,1.86757304979708,2.65428446574453,2.70000004768372,2.70000004768372,2.72727272727273,-0.144451765200567
"25","Abronia turbinata","ppt",97,343.824742268041,142.009683524669,116.2,365,538.2,106,612,314.917570746611,358.632305624411,433,433,104.121212121212,328.639148819786
"26","Abronia turbinata","tmn",97,-5.35463926180736,4.42073766885114,-11.2599998474121,-6.90000009536743,2.32000002861022,-12.5,4,-7.79046965620157,-6.23424575465639,-8.69999980926514,-8.69999980926514,0,-4.38680798470894
"27","Abronia umbellata","ppt",665,465.458646616541,266.193570050288,238,423,1135,197,1996,767.489411826062,437.019819409763,238,238,2498.50505050505,852.957926377179
"28","Abronia umbellata","tmn",665,9.51203004363784,1.85464398946962,7,9.5,13.1999998092651,6.19999980926514,13.5,11.5099738737796,9.97200956304106,13.5,13.5,11.7272727272727,8.99700855948216
