"","name","climVar","N","pmn","sd","q05","pmd","q95","min","max","wtm","mwm","mpt","mat","opt","chc"
"1","Agrostis stolonifera","aet",838,339.426159405765,75.128635876642,207.625105285645,340.489654541016,462.317626953125,30,511.440124511719,205.599808302073,331.131641387649,30,30,0,252.891657913365
"2","Agrostis stolonifera","cwd",838,734.709314241614,182.882678885868,448.95897064209,730.514526367188,1052.83349609375,152.406890869141,1487.78173828125,578.154650641936,701.421435447174,152.406890869141,152.406890869141,0,739.914335210666
"3","Aira caryophyllea","aet",978,378.019725214484,51.3107220289514,301.439772033691,376.82080078125,466.1974609375,168,526.34228515625,414.495644396297,383.557672020237,389.200042724609,391.500549316406,371.411791252367,360.705822128675
"4","Aira caryophyllea","cwd",978,726.465485055998,189.830250695438,414.891021728516,719.346588134766,1024.59028930664,276.987670898438,1373.65148925781,556.606609100798,682.158716724756,304.926910400391,272.002471923828,0,776.127834147751
"5","Aira elegans","aet",35,385.124049595424,43.07693802273,327.083032226563,390.936706542969,467.334722900391,323.492919921875,474.416442871094,408.448657540142,389.242076154915,393.263854980469,393.263854980469,393.259543678977,386.037482506249
"6","Aira elegans","cwd",35,820.656715611049,112.073811569087,672.283074951172,815.72705078125,996.744329833984,608.185302734375,1019.05932617188,801.601893435978,814.451695204944,714.878356933594,714.878356933594,739.195297703598,814.628238261398
"7","Anthriscus caucalis","aet",499,361.507381095198,50.0578503626224,283.620388793945,362.077087402344,436.813262939453,94,474.099212646484,360.844921978445,368.203791994517,406.304748535156,404.203186035156,389.489834872159,322.889232854288
"8","Anthriscus caucalis","cwd",499,911.551034808876,151.424450769531,638.988647460938,942.754516601562,1096.20419921875,404.206268310547,1468.64965820312,930.052411740426,941.118513259529,1101.04113769531,1129.2958984375,1224.56205117582,921.979969285518
"9","Bromus sterilis","aet",418,363.348238420258,60.6311216912736,277.698672485352,355.1884765625,473.023767089844,158,504.265930175781,392.876455537117,367.873218357883,476.9677734375,477.025970458984,480.650553385417,345.451289420197
"10","Bromus sterilis","cwd",418,866.312407644171,162.963276255095,569.725006103516,887.742004394531,1076.58742675781,311.181396484375,1278.81213378906,865.477535733211,879.91400954393,834.497436523438,862.484375,915.194178109217,806.445273616487
"11","Cerastium fontanum","aet",68,347.639087452608,72.9003294387228,235.013410186768,339.718032836914,470.599674987793,189.24446105957,488.471801757812,337.38142574795,344.169512739573,212.285095214844,61,0,351.947111416192
"12","Cerastium fontanum","cwd",68,759.104450001436,170.05402492385,470.597967529297,760.838989257812,1040.88036499023,337.351287841797,1141.03344726562,694.563149858224,734.919887811294,662.323974609375,692.148010253906,668.795745541351,775.760036891956
"13","Cerastium fontanum subsp. vulgare","aet",215,336.618576759516,73.2898166056792,217.349739074707,340.783233642578,452.482336425781,131,503.214080810547,309.387576965801,321.87894762893,232.946548461914,232.076904296875,229.401400479403,344.927352079318
"14","Cerastium fontanum subsp. vulgare","cwd",215,739.291635344749,159.68939128674,449.081210327148,723.104614257812,1041.84613037109,302.732604980469,1118.30773925781,692.841207621425,714.517071501247,685.336669921875,668.927856445312,685.966007733586,698.88959096444
"15","Cerastium glomeratum","aet",1211,349.511783943208,60.7713737808074,258.913787841797,346.577239990234,446.061492919922,90,502.9951171875,328.652337984132,347.975563012908,208,208,259.659889914773,276.594435358267
"16","Cerastium glomeratum","cwd",1211,852.75446882177,198.05125051094,462.780075073242,897.595764160156,1091.73394775391,276.987670898438,1654.60766601562,842.390944075969,868.121492692994,1450.859375,1450.859375,1689.58925189394,837.213715772562
"17","Erodium brachycarpum","aet",540,328.014769094962,55.8523474042176,249.915676116943,321.693939208984,426.505625915527,179.674728393555,530.602844238281,303.716807738052,317.473278469115,261,284,270.149585454151,314.740321574903
"18","Erodium brachycarpum","cwd",540,930.938927940086,170.789404147692,598.133911132812,968.817718505859,1146.33639526367,322.93701171875,1347.28503417969,1108.60295677503,968.155786531401,1272.16931152344,1308.43371582031,1469.47446141098,810.671639382403
"19","Euphorbia peplus","aet",607,330.81413422385,53.9122864719712,247.3,326.560577392578,415.769223022461,184,482.741882324219,297.108932497841,322.496183449361,240,239.809829711914,240.325276692708,325.96750907688
"20","Euphorbia peplus","cwd",607,890.817308856392,171.832733342384,534.150103759766,946.149047851562,1088.44384765625,412.232055664062,1369.08239746094,913.260621132239,915.200657477892,1008.37939453125,1017.96356201172,1014.63712811711,872.259251147978
"21","Galium parisiense","aet",651,366.563180574807,63.056338129151,271,366.207763671875,470.432556152344,237.006591796875,540.731872558594,404.730904213843,373.816582376373,540.731872558594,540.731872558594,546.193810665246,365.625822909608
"22","Galium parisiense","cwd",651,832.719292144072,170.069590807604,538.801330566406,865.714111328125,1068.33801269531,409.673187255859,1196.07678222656,803.739630940306,828.343446136974,719.750793457031,719.750793457031,874.687179411301,775.067123572957
"23","Geranium dissectum","aet",741,355.16288153974,52.7238688523479,278,344.429229736328,446.98974609375,161,498.741729736328,376.541022090566,354.462595984675,331.439147949219,330.507232666016,332.296730735085,354.028127761688
"24","Geranium dissectum","cwd",741,817.982610787457,168.288419156593,488.022705078125,837.479309082031,1047.04675292969,287.949523925781,1157.88854980469,748.785998819046,814.468086862486,821.877014160156,826.984436035156,826.864109848485,733.614050735178
"25","Hypericum perforatum","aet",473,404.635936422529,58.3362120102701,302.648895263672,413.791198730469,486.967102050781,198.113479614258,530.90673828125,454.854058225108,424.375118070505,464.208862304688,464.208862304688,540.95810398911,361.622428123866
"26","Hypericum perforatum","cwd",473,700.232134635554,186.438157543654,413.728009033203,704.908447265625,1002.74798583984,292.651214599609,1135.76672363281,528.734240731089,654.596105511694,446.482543945312,446.482543945312,447.884726167929,674.510412847312
"27","Hypericum perforatum subsp. perforatum","aet",83,388.345532336867,70.5188925381083,261.267687988281,394.581359863281,483.986932373047,207.72412109375,496.381011962891,470.658786800123,405.77781878901,496.381011962891,540.731872558594,546.193810665246,354.322919242745
"28","Hypericum perforatum subsp. perforatum","cwd",83,762.805225050593,165.394496492575,511.245306396484,739.750671386719,1029.11851806641,362.656036376953,1135.76672363281,683.897492411565,741.08458540448,723.001159667969,719.750793457031,633.595969460227,742.702435728047
"29","Hypochaeris glabra","aet",1370,340.065460405558,56.3602039423773,261,332.735534667969,440.5314453125,176,497.378662109375,326.448990021364,333.606333514082,266.553894042969,301.817932128906,280.955568872317,324.215882312051
"30","Hypochaeris glabra","cwd",1370,858.278071605376,191.329885871824,500.758483886719,912.706176757812,1088.07802734375,301.948883056641,1390.98266601562,822.665268898087,872.484612578472,416.980682373047,339.940032958984,0,766.975133758742
"31","Lathyrus angulatus","aet",67,392.249958095266,49.5653128262584,314.050659179688,394.679901123047,451.607604980469,284.668029785156,535.548522949219,495.746966267356,404.280218235304,526.180053710938,526.180053710938,540.95810398911,400.880613187352
"32","Lathyrus angulatus","cwd",67,841.979951773117,166.501183322573,537.612969970703,904.136779785156,1025.91549682617,481.533203125,1036.7939453125,806.905198735706,860.501515272215,803.641052246094,803.641052246094,0,745.263751418458
"33","Lathyrus hirsutus","aet",46,388.71235391368,43.723929541551,331.85107421875,391.933776855469,472.011741638184,314.550201416016,476.701843261719,418.031878360202,390.32235855927,383.588256835938,418.301147460938,415.107296105587,386.841470544328
"34","Lathyrus hirsutus","cwd",46,810.420562744141,113.379608533873,610.612854003906,812.731781005859,989.549224853516,530.144348144531,993.783630371094,791.074727128522,805.620985418786,755.719970703125,763.559997558594,769.724717881944,765.90038799674
"35","Lathyrus sphaericus","aet",35,416.56119820731,59.4714468627329,318.824566650391,415.098052978516,479.52151184082,265.858032226562,534.455261230469,483.518669409999,439.839692706659,534.455261230469,534.455261230469,539.853799222696,389.921987732564
"36","Lathyrus sphaericus","cwd",35,742.701566859654,150.946935525209,444.686074829102,730.081970214844,1012.57952880859,372.274047851562,1049.36083984375,667.333744906021,730.997027300833,745.172119140625,745.172119140625,316.797984730114,720.471233106485
