Factor,legend.low,legend.high,HSV,RGB,R,G,B,Hex,Swatch
AET,0,150,"40,35,100","255,230,179",255,230,179,FFE6B3,
AET,150,200,"45,35,98","250,228,162",250,228,162,FAE4A2,
AET,200,250,"55,40,100","255,247,153",255,247,153,FFF799,
AET,250,300,"55,75,98","250,234,62",250,234,62,FAEA3E,
AET,300,350,"60,60,90","230,230,92",230,230,92,E6E65C,
AET,350,400,"82,55,70","143,179,80",143,179,80,8FB350,
AET,400,450,"104,70,63","78,161,48",78,161,48,4EA130,
AET,450,500,"127,85,56","21,143,36",21,143,36,158F24,
AET,500,550,"150,100,50","0,128,64",0,128,64,008040,
AET,550,600,"156,89,50","14,128,82",14,128,82,0E8052,
AET,600,650,"165,85,51","20,130,102",20,130,102,148266,
AET,650,700,"176,85,51","20,130,123",20,130,123,14827B,
AET,700,750,"187,89,57","16,130,145",16,130,145,108291,
AET,750,800,"190,92,55","11,119,140",11,119,140,0B778C,
AET,800,850,"190,95,50","6,107,128",6,107,128,066B80,
AET,850,900,"200,100,48","0,82,122",0,82,122,00527A,
CWD,0,100,"230,65,65","58,76,166",58,76,166,3A4CA6,
CWD,101,200,"220,72,58","41,77,148",41,77,148,294D94,
CWD,201,300,"210,80,50","25,77,128",25,77,128,194D80,
CWD,301,400,"200,95,50","6,87,128",6,87,128,065780,
CWD,401,500,"195,95,55","7,107,140",7,107,140,076B8C,
CWD,501,550,"190,92,55","11,119,140",11,119,140,0B778C,
CWD,551,600,"187,89,57","16,130,145",16,130,145,108291,
CWD,601,650,"176,85,51","20,130,123",20,130,123,14827B,
CWD,651,700,"165,85,51","20,130,102",20,130,102,148266,
CWD,701,750,"150,100,50","0,128,64",0,128,64,008040,
CWD,751,800,"127,85,56","21,143,36",21,143,36,158F24,
CWD,801,850,"104,70,63","78,161,48",78,161,48,4EA130,
CWD,851,900,"82,55,70","143,179,80",143,179,80,8FB350,
CWD,901,950,"60,60,90","230,230,92",230,230,92,E6E65C,
CWD,951,1000,"55,75,98","250,234,62",250,234,62,FAEA3E,
CWD,1001,1050,"55,40,99","252,244,151",252,244,151,FCF497,
CWD,1051,1100,"45,40,97","247,223,148",247,223,148,F7DF94,
CWD,1101,1150,"45,50,97","247,216,124",247,216,124,F7D87C,
CWD,1151,1200,"40,60,95","242,194,97",242,194,97,F2C261,
CWD,1201,1250,"35,70,90","230,163,69",230,163,69,E6A345,
CWD,1250,1300,"30,75,88","224,140,56",224,140,56,E08C38,
DJF,-1,0,"215,70,67","51,101,171",51,101,171,3365AB,
DJF,0,1,"214,62,71","69,117,181",69,117,181,4575B5,
DJF,1.1,2,"212,34,73","123,152,186",123,152,186,7B98BA,
DJF,2.1,3,"176,8,74","174,189,188",174,189,188,AEBDBC,
DJF,3.1,4,"67,18,91","227,232,190",227,232,190,E3E8BE,
DJF,4.1,5,"41,35,100","255,227,166",255,227,166,FFE3A6,
DJF,5.1,6,"22,53,97","247,164,116",247,164,116,F7A474,
DJF,6.1,7,"13,68,92","235,110,75",235,110,75,EB6E4B,
DJF,7.1,8,"10,70,90","230,96,69",230,96,69,E66045,
DJF,8.1,9,"8,72,88","224,84,63",224,84,63,E0543F,
DJF,9.1,10,"6,75,86","219,71,55",219,71,55,DB4737,
DJF,10.1,11,"5,77,83","212,62,49",212,62,49,D43E31,
DJF,11.1,12,"3,82,78","199,44,36",199,44,36,C72C24,
DJF,12.1,13,"2,90,75","191,25,19",191,25,19,BF1913,
DJF,13.1,14,"0,100,60","128,0,0",128,0,0,800000,
JJA,15,16,"214,62,71","69,117,181",69,117,181,4575B5,
JJA,16,17,"214,50,72","92,132,184",92,132,184,5C84B8,
JJA,17,18,"213,40,72","110,143,184",110,143,184,6E8FB8,
JJA,18,19,"211,29,73","132,158,186",132,158,186,849EBA,
JJA,19,20,"205,19,74","153,174,189",153,174,189,99AEBD,
JJA,20,21,"184,9,74","172,188,189",172,188,189,ACBCBD,
JJA,21,22,"111,7,80","192,204,190",192,204,190,C0CCBE,
JJA,22,23,"74,14,86","212,219,189",212,219,189,D4DBBD,
JJA,23,24,"65,20,93","233,237,190",233,237,190,E9EDBE,
JJA,24,25,"60,25,100","255,255,191",255,255,191,FFFFBF,
JJA,25,26,"44,32,100","255,233,173",255,233,173,FFE9AD,
JJA,26,27,"34,40,99","252,209,151",252,209,151,FCD197,
JJA,27,28,"27,47,98","250,185,132",250,185,132,FAB984,
JJA,28,29,"22,54,97","247,163,114",247,163,114,F7A372,
JJA,29,30,"18,60,95","242,141,97",242,141,97,F28D61,
JJA,30,31,"14,66,93","237,117,81",237,117,81,ED7551,
JJA,31,32,"11,71,90","230,96,67",230,96,67,E66043,
JJA,32,33,"8,77,87","222,74,51",222,74,51,DE4A33,
JJA,33,34,"3,82,84","214,47,39",214,47,39,D62F27,
JJA,34,35,"0,85,82","209,31,31",209,31,31,D11F1F,
JJA,35,36,"360,88,78","199,24,24",199,24,24,C71818,
JJA,36,37,"355,90,75","191,19,33",191,19,33,BF1321,
JJA,37,38,"350,92,70","179,14,42",179,14,42,B30E2A,
JJA,38,39,"348,95,67","171,9,41",171,9,41,AB0929,
JJA,39,40,"345,97,65","166,5,45",166,5,45,A6052D,
JJA,40,41,"340,100,60","153,0,51",153,0,51,990033,
JJA,41,42,"340,100,55","140,0,47",140,0,47,8C002F,
PET,950,975,"200,95,85","11,148,217",11,148,217,0B94D9,
PET,975,1000,"196,100,90","0,168,230",0,168,230,00A8E6,
PET,1001,1025,"191,89,75","21,160,191",21,160,191,15A0BF,
PET,1026,1050,"182,84,61","25,151,156",25,151,156,19979C,
PET,1051,1075,"169,83,56","24,143,121",24,143,121,188F79,
PET,1076,1100,"158,87,53","18,135,92",18,135,92,12875C,
PET,1101,1125,"150,100,50","0,128,64",0,128,64,008040,
PET,1126,1150,"127,85,56","21,143,36",21,143,36,158F24,
PET,1151,1175,"104,70,63","73,161,48",73,161,48,49A130,
PET,1176,1200,"82,55,70","143,179,80",143,179,80,8FB350,
PET,1201,1225,"59,41,77","196,195,116",196,195,116,C4C374,
PET,1226,1250,"50,60,95","242,218,97",242,218,97,F2DA61,
PET,1251,1275,"50,70,92","235,207,70",235,207,70,EBCF46,
PET,1276,1300,"50,80,90","230,199,46",230,199,46,E6C72E,
PET,1301,1325,"53,82,90","230,208,41",230,208,41,E6D029,
PET,1326,1350,"45,85,88","224,177,34",224,177,34,E0B122,
PET,1351,1375,"40,85,85","217,155,33",217,155,33,D99B21,
PET,1376,1400,"35,90,80","204,128,20",204,128,20,CC8014,
PET,1401,1425,"30,90,90","230,126,23",230,126,23,E67E17,
PET,1426,1450,"20,92,90","230,89,18",230,89,18,E65912,
PET,1451,1475,"15,95,90","230,66,11",230,66,11,E6420B,
PET,1476,1500,"10,97,92","235,45,7",235,45,7,EB2D07,
PPT,100,200,"180,12,98","220,250,250",220,250,250,DCFAFA,
PPT,201,300,"185,15,97","210,244,247",210,244,247,D2F4F7,
